ticker,name,market
MMM,3M,SP500
AOS,A. O. Smith,SP500
ABT,Abbott Laboratories,SP500
ABBV,AbbVie,SP500
ACN,Accenture,SP500
ADBE,Adobe Inc.,SP500
AMD,Advanced Micro Devices,SP500
AES,AES Corporation,SP500
AFL,Aflac,SP500
A,Agilent Technologies,SP500
APD,Air Products,SP500
ABNB,Airbnb,SP500
AKAM,Akamai Technologies,SP500
ALB,Albemarle Corporation,SP500
ARE,Alexandria Real Estate Equities,SP500
ALGN,Align Technology,SP500
ALLE,Allegion,SP500
LNT,Alliant Energy,SP500
ALL,Allstate,SP500
GOOGL,Alphabet Inc. (Class A),SP500
GOOG,Alphabet Inc. (Class C),SP500
MO,Altria,SP500
AMZN,Amazon,SP500
AMCR,Amcor,SP500
AEE,Ameren,SP500
AEP,American Electric Power,SP500
AXP,American Express,SP500
AIG,American International Group,SP500
AMT,American Tower,SP500
AWK,American Water Works,SP500
AMP,Ameriprise Financial,SP500
AME,Ametek,SP500
AMGN,Amgen,SP500
APH,Amphenol,SP500
ADI,Analog Devices,SP500
AON,Aon plc,SP500
APA,APA Corporation,SP500
APO,Apollo Global Management,SP500
AAPL,Apple Inc.,SP500
AMAT,Applied Materials,SP500
APP,AppLovin,SP500
APTV,Aptiv,SP500
ACGL,Arch Capital Group,SP500
ADM,Archer Daniels Midland,SP500
ARES,Ares Management,SP500
ANET,Arista Networks,SP500
AJG,Arthur J. Gallagher & Co.,SP500
AIZ,Assurant,SP500
T,AT&T,SP500
ATO,Atmos Energy,SP500
ADSK,Autodesk,SP500
ADP,Automatic Data Processing,SP500
AZO,AutoZone,SP500
AVY,Avery Dennison,SP500
AXON,Axon Enterprise,SP500
BKR,Baker Hughes,SP500
BALL,Ball Corporation,SP500
BAC,Bank of America,SP500
BAX,Baxter International,SP500
BDX,Becton Dickinson,SP500
BRK-B,Berkshire Hathaway,SP500
BBY,Best Buy,SP500
TECH,Bio-Techne,SP500
BIIB,Biogen,SP500
BLK,BlackRock,SP500
BX,Blackstone Inc.,SP500
XYZ,"Block, Inc.",SP500
BE,Bloom Energy,SP500
BNY,BNY Mellon,SP500
BA,Boeing,SP500
BKNG,Booking Holdings,SP500
BSX,Boston Scientific,SP500
BMY,Bristol Myers Squibb,SP500
AVGO,Broadcom,SP500
BR,Broadridge Financial Solutions,SP500
BRO,Brown & Brown,SP500
BF-B,Brown–Forman,SP500
BG,Bunge Global,SP500
BXP,"BXP, Inc.",SP500
CHRW,C.H. Robinson,SP500
CDNS,Cadence Design Systems,SP500
CPT,Camden Property Trust,SP500
COF,Capital One,SP500
CAH,Cardinal Health,SP500
CCL,Carnival Corporation,SP500
CARR,Carrier Global,SP500
CVNA,Carvana,SP500
CASY,Casey's,SP500
CAT,Caterpillar Inc.,SP500
CBOE,Cboe Global Markets,SP500
CBRE,CBRE Group,SP500
CDW,CDW Corporation,SP500
COR,Cencora,SP500
CNC,Centene Corporation,SP500
CNP,CenterPoint Energy,SP500
CF,CF Industries,SP500
CRL,Charles River Laboratories,SP500
SCHW,Charles Schwab Corporation,SP500
CHTR,Charter Communications,SP500
CVX,Chevron Corporation,SP500
CMG,Chipotle Mexican Grill,SP500
CB,Chubb Limited,SP500
CHD,Church & Dwight,SP500
CIEN,Ciena,SP500
CI,Cigna,SP500
CINF,Cincinnati Financial,SP500
CTAS,Cintas,SP500
CSCO,Cisco,SP500
C,Citigroup,SP500
CFG,Citizens Financial Group,SP500
CLX,Clorox,SP500
CME,CME Group,SP500
CMS,CMS Energy,SP500
KO,Coca-Cola Company (The),SP500
CTSH,Cognizant,SP500
COHR,Coherent Corp.,SP500
COIN,Coinbase,SP500
CL,Colgate-Palmolive,SP500
CMCSA,Comcast,SP500
FIX,Comfort Systems USA,SP500
COP,ConocoPhillips,SP500
ED,Consolidated Edison,SP500
STZ,Constellation Brands,SP500
CEG,Constellation Energy,SP500
COO,Cooper Companies (The),SP500
CPRT,Copart,SP500
GLW,Corning Inc.,SP500
CPAY,Corpay,SP500
CTVA,Corteva,SP500
CSGP,CoStar Group,SP500
COST,Costco,SP500
CRH,CRH plc,SP500
CRWD,CrowdStrike,SP500
CCI,Crown Castle,SP500
CSX,CSX Corporation,SP500
CMI,Cummins,SP500
CVS,CVS Health,SP500
DHR,Danaher Corporation,SP500
DRI,Darden Restaurants,SP500
DDOG,Datadog,SP500
DVA,DaVita,SP500
DECK,Deckers Brands,SP500
DE,Deere & Company,SP500
DELL,Dell Technologies,SP500
DAL,Delta Air Lines,SP500
DVN,Devon Energy,SP500
DXCM,Dexcom,SP500
FANG,Diamondback Energy,SP500
DLR,Digital Realty,SP500
DG,Dollar General,SP500
DLTR,Dollar Tree,SP500
D,Dominion Energy,SP500
DPZ,Domino's,SP500
DASH,DoorDash,SP500
DOV,Dover Corporation,SP500
DOW,Dow Inc.,SP500
DHI,D. R. Horton,SP500
DTE,DTE Energy,SP500
DUK,Duke Energy,SP500
DD,DuPont,SP500
ETN,Eaton Corporation,SP500
EBAY,eBay Inc.,SP500
ECHO,EchoStar,SP500
ECL,Ecolab,SP500
EIX,Edison International,SP500
EW,Edwards Lifesciences,SP500
ELV,Elevance Health,SP500
EME,Emcor,SP500
EMR,Emerson Electric,SP500
ETR,Entergy,SP500
EOG,EOG Resources,SP500
EQT,EQT Corporation,SP500
EFX,Equifax,SP500
EQIX,Equinix,SP500
ERIE,Erie Indemnity,SP500
ESS,Essex Property Trust,SP500
EL,Estée Lauder Companies (The),SP500
EG,Everest Group,SP500
EVRG,Evergy,SP500
P,Everpure,SP500
ES,Eversource Energy,SP500
EXC,Exelon,SP500
EXE,Expand Energy,SP500
EXPE,Expedia Group,SP500
EXPD,Expeditors International,SP500
EXR,Extra Space Storage,SP500
XOM,ExxonMobil,SP500
FFIV,"F5, Inc.",SP500
FDS,FactSet,SP500
FICO,Fair Isaac,SP500
FAST,Fastenal,SP500
FRT,Federal Realty Investment Trust,SP500
FDX,FedEx,SP500
FDXF,FedEx Freight,SP500
FERG,Ferguson Enterprises,SP500
FIS,Fidelity National Information Services,SP500
FITB,Fifth Third Bancorp,SP500
